sequence_nm;id;Geo location;Collection date;Country;Host;class;aa83_1B;aa90_1B;nt86_1B;nt80_1B;Host_species;Host_genus;Host_fam;Host_fam_ru;Host_shorter
OP621332/NA/NA/goose/2020;OP621332;China: Shandong province;2020-11-18;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OP621331/NA/NA/goose/2019;OP621331;China: Shandong province;2019-05-03;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OP621330/NA/NA/goose/2021;OP621330;China: Jiangxi province;2021-03-16;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OP484924/NA/NA/goose/2018;OP484924;China: Hebei province;2018-04-11;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OP484923/NA/NA/goose/2018;OP484923;China: Guangdong province;2018-03-09;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
ON954324/NA/NA/goose/2021;ON954324;China;2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM469236/NA/ANV-PB5-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469236;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469235/NA/ANV-PB15-HI11-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469235;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469234/NA/ANV-PB1-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469234;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469233/NA/ANV-PB11-HI6-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469233;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469232/NA/ANV-PB7-HI6-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469232;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469231/NA/ANV-PB21-SI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469231;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469230/NA/ANV-PB31-SI19-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469230;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OM469229/NA/ANV-PB23-SI7-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019;OM469229;Switzerland;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
ON205965/NA/AAstv-CHN-Goose-2018/goose/2018;ON205965;China;May-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM811458/NA/Astv-Goose-Heilongjiang-ZYL01-2018/goose/2018;OM811458;China;31-Dec-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
ON156528/NA/NA/goose/2022;ON156528;China;10-Jan-2022;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
ON964512/NA/NA/Gallus-gallus/2020;ON964512;China:Hunan;Dec-2020;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
ON745304/NA/ZJCX/landaise/2021;ON745304;China;15-Jun-2021;;Landaise;Aves;38.0;53.0;47.0;2.0;Landaise;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM937013/NA/NA/goose/2017;OM937013;China: Shandong;2017-05;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL762473/NA/JXGZ/goose/2020;OL762473;China;Mar-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM066895/NA/AAstV-Goose-CHN-2021-ZY02/goose/2021;OM066895;China;Apr-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM066894/NA/AAstV-Goose-CHN-2021-HR2110-1/goose/2021;OM066894;China;Oct-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM066893/NA/AAstV-Goose-CHN-2021-HR2105-2/goose/2021;OM066893;China;May-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM066892/NA/AAstV-Goose-CHN-2021-HR2105-1/goose/2021;OM066892;China;May-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL853843/NA/HLJ/goose/2019;OL853843;China;2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100603/NA/AstV-JS04-Goose-0919-20/goose/2020;OM100603;China;19-Sep-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100602/NA/AstV-JS03-Goose-0702-20/goose/2020;OM100602;China;02-Jul-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100601/NA/AstV-JS02-Goose-0518-20/goose/2020;OM100601;China;18-May-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100600/NA/AstV-JS01-Goose-0518-20/goose/2020;OM100600;China;18-May-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100599/NA/AstV-HN05-Goose-0514-20/goose/2020;OM100599;China;14-May-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100598/NA/AstV-HN04-Goose-0514-20/goose/2020;OM100598;China;14-May-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100597/NA/AstV-HB06-Goose-1226-19/goose/2019;OM100597;China;26-Dec-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100596/NA/AstV-HB05-Goose-0812-19/goose/2019;OM100596;China;12-Aug-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100595/NA/AstV-HB04-Goose-0811-19/goose/2019;OM100595;China;12-Aug-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100594/NA/AstV-HB03-Goose-0810-19/goose/2019;OM100594;China;11-Aug-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100593/NA/AstV-AN06-Goose-0714-19/goose/2019;OM100593;China;14-Jul-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100592/NA/AstV-AH05-Goose-0711-19/goose/2019;OM100592;China;11-Jul-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100591/NA/AstV-AH04-Goose-0614-19/goose/2019;OM100591;China;14-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM100590/NA/AstV-AH03-Goose-0422-19/goose/2019;OM100590;China;22-Apr-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM455389/NA/HeB-BD4-2019/goose/2019;OM455389;China: Hebei;16-Sep-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM455388/NA/HeB-BD1-2021/goose/2021;OM455388;China: Hebei;24-Jan-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM264914/NA/NA/goslings/2019;OM264914;China: Hebei;04-Jan-2019;;Gosling;Aves;33.0;60.0;15.0;58.0;;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM264913/NA/NA/goslings/2019;OM264913;China: Hebei;06-Jul-2019;;Gosling;Aves;33.0;60.0;15.0;58.0;;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM264912/NA/NA/goslings/2019;OM264912;China: Hebei;15-Jul-2019;;Gosling;Aves;33.0;60.0;15.0;58.0;;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM264911/NA/NA/goslings/2019;OM264911;China: Hebei;19-Jul-2019;;Gosling;Aves;33.0;60.0;15.0;58.0;;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM200916/NA/NA/goslings/2019;OM200916;China: Hebei;20-Jul-2019;;Gosling;Aves;33.0;60.0;15.0;58.0;;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL982615/NA/JSZ29/goose/2020;OL982615;China;11-Oct-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL982614/NA/JSCZ15/goose/2015;OL982614;China;11-Nov-2015;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL982613/NA/XSSH/goose/2020;OL982613;China;10-Jun-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL963558/NA/JSW10/goose/2020;OL963558;China;24-Sep-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL963557/NA/JSW1/goose/2020;OL963557;China;03-Sep-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL963556/NA/JSSQ/goose/2020;OL963556;China;11-Jul-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL963555/NA/JSCZ/goose/2020;OL963555;China;15-Jun-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OP020131/NA/NA/50-day-old-Landes-geese/2022;OP020131;China: Shandong province;2022-01-16;;Lande geese;Aves;38.0;53.0;47.0;2.0;Lande geese;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL536330/NA/HeB-BD1-2020/goose/2020;OL536330;China: Hebei;21-Oct-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW385412/NA/NA/Crow/2017;MW385412;China;28-Dec-2017;;Crow;Aves;42.0;57.0;12.0;55.0;Crow;Corvus;Corvidae;Corvidae (врановые);Corvidae (врановые)
MW786757/NA/SCCD/goose/2018;MW786757;China;Sep-2018;;Goose;Aves;33.0;60.0;15.0;58.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505493/NA/NA/goose/2019;MW505493;China: Liaoning Province, Anshan;21-Aug-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505492/NA/NA/goose/2019;MW505492;China: Jiangsu Province, Xuzhou;20-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505491/NA/NA/goose/2019;MW505491;China: Heilongjiang Province, Yichun;06-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505490/NA/NA/goose/2019;MW505490;China: Heilongjiang Province, Jixi;21-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505489/NA/NA/goose/2019;MW505489;China: Heilongjiang Province, Shuangyashan;21-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505488/NA/NA/goose/2019;MW505488;China: Heilongjiang Province, Jiamusi;16-Jul-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505487/NA/NA/goose/2019;MW505487;China: Heilongjiang Province, Harbin;11-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505486/NA/NA/goose/2019;MW505486;China: Shandong Province, Weifang;05-Jul-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW505485/NA/NA/goose/2019;MW505485;China: Jilin Province, Shulan;05-Aug-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ648231/NA/AAstV-Goose-CHN-2021-ZM/goose/2021;MZ648231;China;2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ819185/NA/ZJC14/goose/2020;MZ819185;China;Jun-2020;;Goose;Aves;33.0;60.0;15.0;58.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ819184/NA/ZJLD/goose/2020;MZ819184;China;Jun-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ819183/NA/JRMS/goose/2020;MZ819183;China;Jun-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW536497/NA/YC20/goose/2020;MW536497;China;10-Aug-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OK148600/NA/NA/goose/2020;OK148600;China;02-Oct-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273310/NA/NA/goose/2021;OM273310;China: Shandong province;21-Aug-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273309/NA/NA/goose/2021;OM273309;China: Shandong province;16-Jul-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273308/NA/NA/goose/2021;OM273308;China: Shandong province;30-Jun-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273307/NA/NA/goose/2021;OM273307;China: Shandong province;07-May-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273306/NA/NA/goose/2021;OM273306;China: Shandong province;26-Apr-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273305/NA/NA/goose/2021;OM273305;China: Shandong province;15-Apr-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273304/NA/NA/goose/2021;OM273304;China: Shandong province;10-Apr-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273303/NA/NA/goose/2021;OM273303;China: Shandong province;28-Mar-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OM273302/NA/NA/goose/2021;OM273302;China: Shandong province;12-Mar-2021;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW217578/NA/DAstV-SDZZ/duck/2020;MW217578;China;2020;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL762472/NA/JXYC/goose/NA;OL762472;China;;;Goose;Aves;33.0;60.0;15.0;58.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL762471/NA/JXGZ/goose/NA;OL762471;China;;;Goose;Aves;33.0;60.0;15.0;58.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ540211/NA/NA/goose/2019;MZ540211;China;2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OL652659/NA/DAstV-SDWF/duck/2021;OL652659;China;2021;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ150559/NA/ANV-Chicken-CHN-2020-AH202017/chicken/2020;MZ150559;China;2020;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
OK571391/NA/ZJC14/goslings/2020;OK571391;China;10-Jun-2020;;Gosling;Aves;33.0;60.0;15.0;58.0;Gosling;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OK571390/NA/JRMS/goose/2020;OK571390;China;03-Dec-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
OK571389/NA/ZJLD/goose/2020;OK571389;China;10-Jun-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW353015/NA/TZ03/goose/2019;MW353015;China;07-Aug-2019;;Goose;Aves;33.0;60.0;15.0;58.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
KT946725/NA/D10-5628-HK/spotted-dove/NA;KT946725;Hong Kong;;;Spotted dove;Aves;32.0;27.0;39.0;46.0;Spotted dove;Streptopelia;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
KT946724/NA/D11-440-HK/feral-pigeon/NA;KT946724;Hong Kong;;;Feral pigeon;Aves;32.0;27.0;6.0;46.0;Feral pigeon;Columba;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
KT946723/NA/D11-336-2-HK/spotted-dove/NA;KT946723;Hong Kong;;;Spotted dove;Aves;32.0;27.0;39.0;46.0;Spotted dove;Streptopelia;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
KT946722/NA/D11-116-HK/spotted-dove/NA;KT946722;Hong Kong;;;Spotted dove;Aves;32.0;27.0;39.0;46.0;Spotted dove;Streptopelia;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
KT946720/NA/D11-515-HK/house-crow/NA;KT946720;Hong Kong;;;House crow;Aves;30.0;45.0;42.0;42.0;House crow;Corvus;Corvidae;Corvidae (врановые);Corvidae (врановые)
KT946719/NA/D11-467-HK/house-crow/NA;KT946719;Hong Kong;;;House crow;Aves;30.0;45.0;42.0;42.0;House crow;Corvus;Corvidae;Corvidae (врановые);Corvidae (врановые)
KT946718/NA/D11-139-HK/house-crow/NA;KT946718;Hong Kong;;;House crow;Aves;30.0;45.0;42.0;42.0;House crow;Corvus;Corvidae;Corvidae (врановые);Corvidae (врановые)
MZ576222/NA/JX01-China-2021/goose/2021;MZ576222;China;2021-05-20;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MZ375139/NA/3PE-RDRP-2/Phrynocephalus-erythrurus/2020;MZ375139;China;2020;;Phrynocephalus erythrurus;Lepidosauria;45.0;19.0;17.0;18.0;Phrynocephalus erythrurus;Phrynocephalus;Agamidae;Agamidae (агамовые);Reptilia (Пресмыкающиеся)
MZ367612/NA/HNNY0620/Muscovy-duck/2020;MZ367612;China;20-Jun-2020;;Muscovy duck;Aves;38.0;53.0;47.0;2.0;Muscovy duck;Cairina;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW826371/NA/XZN01/bird/2018;MW826371;China;Apr-2018;;bird;Aves;49.0;23.0;21.0;22.0;bird;bird;;;
MK746105/NA/AAstV-Chicken-CHN-2017-NJ1701/chicken/2017;MK746105;China;2017;;Gallus gallus;Aves;1.0;28.0;46.0;1.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW846319/NA/CAstV-Chicken-CHN-2020-GD202013/chicken/2020;MW846319;China;2020;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684833/NA/Chicken-NLD-2019-V-M-053-astro-2/Gallus-gallus-domesticus-(broiler)/2019;MW684833;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684831/NA/Chicken-NLD-2019-V-M-047-astro-4/Gallus-gallus-domesticus-(broiler)/2019;MW684831;Netherlands;2019;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684830/NA/Chicken-NLD-2019-V-M-046-astro-12/Gallus-gallus-domesticus-(broiler)/2019;MW684830;Netherlands;2019;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019;MW684829;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684826/NA/Chicken-NLD-2019-V-M-039-astro-2/Gallus-gallus-domesticus-(broiler)/2019;MW684826;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684825/NA/Chicken-NLD-2019-V-M-038-astro-6/Gallus-gallus-domesticus-(broiler)/2019;MW684825;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684824/NA/Chicken-NLD-2019-V-M-038-astro-5/Gallus-gallus-domesticus-(broiler)/2019;MW684824;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684823/NA/Chicken-NLD-2019-V-M-038-astro-4/Gallus-gallus-domesticus-(broiler)/2019;MW684823;Netherlands;2019;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684822/NA/Chicken-NLD-2019-V-M-036-astro-4/Gallus-gallus-domesticus-(broiler)/2019;MW684822;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684821/NA/Chicken-NLD-2019-V-M-034-astro-2/Gallus-gallus-domesticus-(broiler)/2019;MW684821;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684820/NA/Chicken-NLD-2019-V-M-033-astro-3/Gallus-gallus-domesticus-(broiler)/2019;MW684820;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684819/NA/Chicken-NLD-2019-V-M-030-astro-12/Gallus-gallus-domesticus-(broiler)/2019;MW684819;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684818/NA/Chicken-NLD-2019-V-M-015-astro-2/Gallus-gallus-domesticus-(broiler)/2019;MW684818;Netherlands;2019;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MW684817/NA/Environment-NLD-2019-VE-7-astro-14/Gallus-gallus-domesticus-(broiler)/2019;MW684817;Netherlands;2019;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT708902/NA/AAstV-Goose-CHN-2019-DY-19/Anser-anser/2019;MT708902;China;Sep-2019;;Anser anser;Aves;38.0;53.0;47.0;2.0;Anser anser;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT993596/NA/MW10-1o/Arenaria-interpres-(ruddy-turnstone)/2015;MT993596;Australia;2015;;Arenaria interpres (ruddy turnstone);Aves;23.0;11.0;37.0;36.0;Arenaria interpres (ruddy turnstone);Arenaria;Scolopacidae;Scolopacidae (бекасовые);Scolopacidae (бекасовые)
MT993595/NA/MW09-1o/Arenaria-interpres-(ruddy-turnstone)/2015;MT993595;Australia;2015;;Arenaria interpres (ruddy turnstone);Aves;25.0;13.0;40.0;38.0;Arenaria interpres (ruddy turnstone);Arenaria;Scolopacidae;Scolopacidae (бекасовые);Scolopacidae (бекасовые)
MT993583/NA/MW06-2o/Arenaria-interpres-(ruddy-turnstone)/2014;MT993583;Australia;2014;;Arenaria interpres (ruddy turnstone);Aves;27.0;15.0;43.0;39.0;Arenaria interpres (ruddy turnstone);Arenaria;Scolopacidae;Scolopacidae (бекасовые);Scolopacidae (бекасовые)
MN149395/NA/D390/Jinding-ducks/2013;MN149395;China;13-Oct-2013;;Jinding ducks;Aves;3.0;31.0;48.0;3.0;Jinding ducks;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN149394/NA/D200/Jinding-ducks/2013;MN149394;China;13-Oct-2013;;Jinding ducks;Aves;3.0;31.0;48.0;3.0;Jinding ducks;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN149393/NA/D120/Jinding-ducks/2013;MN149393;China;13-Oct-2013;;Jinding ducks;Aves;3.0;31.0;48.0;3.0;Jinding ducks;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
